Price,Title,Location,Date,Url
10 лв.,Охладител за процесор - CPU Cooler (Glacial Tech),"гр. София, Център",13  апр,https://www.olx.bg/ad/ohladitel-za-protsesor-cpu-cooler-glacial-tech-CID632-ID5nv30.html#2c6fe5110d
7 лв.,Продавам CPU AMD Sempron 2000 MHz и RAM DDR 400 512 MB - 7 лв.,"гр. София, Оборище",12  апр,https://www.olx.bg/ad/prodavam-cpu-amd-sempron-2000-mhz-i-ram-ddr-400-512-mb-7-lv-CID632-ID88bNW.html#2c6fe5110d
7 лв.,"AMD Intel CPU / Процесори 1-, 2- ядра за лаптоп","гр. София, Лозенец",12  апр,https://www.olx.bg/ad/amd-intel-cpu-protsesori-1-2-yadra-za-laptop-CID632-ID7Y9Fc.html#2c6fe5110d
120 лв.,Процесор CPU Intel Core i7 950,"гр. София, Сухата река",12  апр,https://www.olx.bg/ad/protsesor-cpu-intel-core-i7-950-CID632-ID7DO1h.html#2c6fe5110d
110 лв.,Intel i5-4460 cpu,"гр. Пловдив, Кършияка",11  апр,https://www.olx.bg/ad/intel-i5-4460-cpu-CID632-ID887ox.html#2c6fe5110d
70 лв.,"Дъно Asus M5A78L/USB3 AM3+, CPU FX4100 и ram ddr3 1333","гр. София, Яворов",11  апр,https://www.olx.bg/ad/dano-asus-m5a78l-usb3-am3-cpu-fx4100-i-ram-ddr3-1333-CID632-ID7VjxK.html#2c6fe5110d
110 лв.,CPU-Q9400+Motherboard-Asus.P5Q3+GPU-5850+RAM DDR3-8G,"гр. София, Сердика",11  апр,https://www.olx.bg/ad/cpu-q9400-motherboard-asus-p5q3-gpu-5850-ram-ddr3-8g-CID632-ID89NAm.html#2c6fe5110d
250 лв.,"Дъно Biostar TB250-BTC PRO , 16gb RAM CPU G4600","гр. Русе, Родина 3",11  апр,https://www.olx.bg/ad/dano-biostar-tb250-btc-pro-16gb-ram-cpu-g4600-CID632-ID87KDK.html#2c6fe5110d
48 лв.,CPU cooler CRYORIG H5 Universal,"гр. Пловдив, Център",11  апр,https://www.olx.bg/ad/cpu-cooler-cryorig-h5-universal-CID632-ID89MMh.html#2c6fe5110d
100 лв.,Sonnet Crescendo G3 CPU Upgrade PPCG3-500-1-B09,гр. Поморие,10  апр,https://www.olx.bg/ad/sonnet-crescendo-g3-cpu-upgrade-ppcg3-500-1-b09-CID632-ID87Vfw.html#2c6fe5110d
68 лв.,"Компютърни части - видео карти, захранване, RAM, CPU, DVD-RW","гр. София, Оборище",9  апр,https://www.olx.bg/ad/kompyutarni-chasti-video-karti-zahranvane-ram-cpu-dvd-rw-CID632-ID7BtZZ.html#2c6fe5110d
30 лв.,Охлаждане за процесор cpu cooler сокет 1151,"гр. София, Витоша",9  апр,https://www.olx.bg/ad/ohlazhdane-za-protsesor-cpu-cooler-soket-1151-CID632-ID89pqJ.html#2c6fe5110d
